House No:1
Residents:4
Refrigerator:500:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washing Machine:500:0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Devices:200:0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Dish Washer:1300:0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Oven:2150:0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Toaster:900:0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Microwave:1000:0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
Light Bulbs:20:0,0,0,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5
Aircon:3000:0,1,0,0,1,1,0,1,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0,1,0.5
TV:60:0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Iron:1000:0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

House No:2
Residents:5
Refrigerator:500:1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Washing Machine:500:0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Devices:200:0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Dish Washer:1300:0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Oven:2150:0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Toaster:900:0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Microwave:1000:0,0,0,0,0,0.5,05,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0
Light Bulbs:20:0,0,0,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
Aircon:3000:0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
TV:60:0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Iron:1000:0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0

House No:3
Residents:4
Refrigerator:500:0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washing Machine:500:0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Electronic Devices:200:0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Dish Washer:1300:0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Oven:2150:0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Toaster:900:0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Microwave:1000:0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0
Light Bulbs:20:0,0,0,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5
Aircon:3000:0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0
